tic,time_idx,horizon,actual_scaled,p50_scaled,actual,p10,p50,p90
ADAUSDT,2542,1,0.8450915,0.95964885,0.83350116,0.83462304,0.8472443,0.86232924
ADAUSDT,2543,2,0.84181154,0.9669994,0.83310765,0.8332855,0.8481261,0.86058736
ADAUSDT,2544,3,0.5959675,0.77420884,0.8036144,0.81247306,0.82499754,0.8376079
ADAUSDT,2545,4,0.7603122,0.9083387,0.8233304,0.82701313,0.8410888,0.8528643
ADAUSDT,2546,5,0.6419441,0.79680336,0.8091301,0.81611127,0.8277081,0.83944887
ADAUSDT,2547,6,0.7669386,0.9316665,0.82412535,0.8305467,0.8438873,0.85749364
ADAUSDT,2548,7,1.001664,1.2726266,0.8522847,0.86865747,0.88479143,0.9038224
ADAUSDT,2543,1,0.84181154,0.95506173,0.83450615,0.8325485,0.8481047,0.86468625
ADAUSDT,2544,2,0.5959675,0.77167916,0.8049864,0.81330174,0.826085,0.84039724
ADAUSDT,2545,3,0.7603122,0.9322117,0.82472014,0.83026385,0.845361,0.85690093
ADAUSDT,2546,4,0.6419441,0.8017012,0.81050706,0.81765634,0.8296899,0.84432375
ADAUSDT,2547,5,0.7669386,0.93302715,0.8255158,0.83194584,0.84545887,0.858481
ADAUSDT,2548,6,1.001664,1.2330996,0.85370046,0.8663446,0.8814901,0.89695936
ADAUSDT,2549,7,0.9836718,1.2350054,0.85154,0.8634983,0.88171893,0.8985796
ADAUSDT,2544,1,0.5959675,0.7861482,0.80701876,0.8171877,0.8299023,0.8425214
ADAUSDT,2545,2,0.7603122,0.93081594,0.82679355,0.8352678,0.84730947,0.86155146
ADAUSDT,2546,3,0.6419441,0.81798923,0.8125509,0.82071805,0.83373356,0.8454402
ADAUSDT,2547,4,0.7669386,0.94212615,0.8275909,0.8326957,0.84867036,0.8617638
ADAUSDT,2548,5,1.001664,1.2383059,0.85583425,0.8660736,0.8843082,0.8988676
ADAUSDT,2549,6,0.9836718,1.1916388,0.85366935,0.8638544,0.878693,0.89540017
ADAUSDT,2550,7,1.1299708,1.4024078,0.8712728,0.88753265,0.9040538,0.9214839
ADAUSDT,2545,1,0.7603122,0.8751484,0.82905734,0.8289236,0.84286284,0.85639536
ADAUSDT,2546,2,0.6419441,0.79215753,0.81482726,0.8204616,0.83288574,0.84642935
ADAUSDT,2547,3,0.7669386,0.9270606,0.829854,0.83487236,0.8491037,0.86208475
ADAUSDT,2548,4,1.001664,1.2235715,0.85807246,0.8701573,0.88474995,0.90529066
ADAUSDT,2549,5,0.9836718,1.189507,0.85590947,0.86514753,0.88065475,0.89511514
ADAUSDT,2550,6,1.1299708,1.3527842,0.87349737,0.88380384,0.9002838,0.9153434
ADAUSDT,2551,7,1.174492,1.3958435,0.8788497,0.8883432,0.90546036,0.922247
ADAUSDT,2546,1,0.6419441,0.7504357,0.8164804,0.81575763,0.8295135,0.8446305
ADAUSDT,2547,2,0.7669386,0.89991856,0.831496,0.8339545,0.84747094,0.86140996
ADAUSDT,2548,3,1.001664,1.2151678,0.8596937,0.8665577,0.885342,0.90211916
ADAUSDT,2549,4,0.9836718,1.1883359,0.85753226,0.86859965,0.8821187,0.89858514
ADAUSDT,2550,5,1.1299708,1.351198,0.8751072,0.88458955,0.9016834,0.9195874
ADAUSDT,2551,6,1.174492,1.3579717,0.8804556,0.88329554,0.9024971,0.92055106
ADAUSDT,2552,7,1.3356105,1.5439603,0.89981085,0.90759265,0.92484,0.942536
ADAUSDT,2547,1,0.7669386,0.8502903,0.8334298,0.8289818,0.8434524,0.8570992
ADAUSDT,2548,2,1.001664,1.2040262,0.86165416,0.8708319,0.88598704,0.90028435
ADAUSDT,2549,3,0.9836718,1.1973399,0.85949075,0.86988246,0.88518304,0.9013817
ADAUSDT,2550,4,1.1299708,1.3589025,0.87708235,0.88871706,0.90461,0.92714864
ADAUSDT,2551,5,1.174492,1.3728428,0.88243574,0.89072776,0.90628624,0.9197507
ADAUSDT,2552,6,1.3356105,1.5072372,0.9018093,0.90585554,0.92244637,0.9396538
ADAUSDT,2553,7,1.4061339,1.5975516,0.9102893,0.91480964,0.93330616,0.95279473
ADAUSDT,2548,1,1.001664,1.1100268,0.86333185,0.85750127,0.8763653,0.8921246
ADAUSDT,2549,2,0.9836718,1.1543226,0.86116785,0.8668776,0.88169307,0.896618
ADAUSDT,2550,3,1.1299708,1.3449278,0.8787641,0.88822514,0.9046183,0.92323416
ADAUSDT,2551,4,1.174492,1.3679304,0.884119,0.89114,0.907385,0.9246707
ADAUSDT,2552,5,1.3356105,1.5053694,0.9034977,0.90866095,0.9239156,0.94279295
ADAUSDT,2553,6,1.4061339,1.581851,0.91198,0.9162321,0.9331145,0.95128787
ADAUSDT,2554,7,1.0368928,1.1817062,0.867569,0.8718096,0.88498664,0.9009223
ADAUSDT,2549,1,0.9836718,1.1658456,0.8629302,0.8673967,0.88489985,0.90222937
ADAUSDT,2550,2,1.1299708,1.3490181,0.8805734,0.88873196,0.9069899,0.9239873
ADAUSDT,2551,3,1.174492,1.3877363,0.8859426,0.8977537,0.9116592,0.9285327
ADAUSDT,2552,4,1.3356105,1.5463281,0.905373,0.91426426,0.9307849,0.9482137
ADAUSDT,2553,5,1.4061339,1.5986574,0.9138779,0.9190105,0.93709564,0.9546964
ADAUSDT,2554,6,1.0368928,1.1761701,0.86934847,0.8720665,0.88614494,0.90272284
ADAUSDT,2555,7,0.81438565,0.8925729,0.84251475,0.83721346,0.8519439,0.86485744
ADAUSDT,2550,1,1.1299708,1.2834604,0.8829356,0.8834604,0.9015429,0.92054516
ADAUSDT,2551,2,1.174492,1.3376653,0.88833284,0.8899006,0.9081141,0.9270135
ADAUSDT,2552,3,1.3356105,1.5459712,0.9078649,0.91245,0.9333666,0.9530598
ADAUSDT,2553,4,1.4061339,1.594949,0.9164144,0.91922796,0.9393041,0.96279037
ADAUSDT,2554,5,1.0368928,1.153213,0.8716519,0.873981,0.8857532,0.9021934
ADAUSDT,2555,6,0.81438565,0.88522184,0.84467775,0.8382621,0.8532651,0.8671115
ADAUSDT,2556,7,0.9346981,0.999063,0.859263,0.85047925,0.86706585,0.8810691
ADAUSDT,2551,1,1.174492,1.2985618,0.8908211,0.8908389,0.9059285,0.92646945
ADAUSDT,2552,2,1.3356105,1.531939,0.9104397,0.9118147,0.9343457,0.95259506
ADAUSDT,2553,3,1.4061339,1.6058261,0.91902703,0.9232754,0.94334257,0.96178734
ADAUSDT,2554,4,1.0368928,1.1623819,0.87406635,0.8740515,0.88934654,0.9025624
ADAUSDT,2555,5,0.81438565,0.8523075,0.8469727,0.83747077,0.8515903,0.8659564
ADAUSDT,2556,6,0.9346981,0.9572064,0.8616226,0.8533516,0.8643633,0.8804951
