tic,time_idx,horizon,actual_scaled,p50_scaled,actual,p10,p50,p90
ADAUSDT,2543,1,0.8418115424935366,0.6365848779678345,0.8366,0.7919825553742336,0.8119060681279561,0.8316046653011706
ADAUSDT,2544,2,0.5959674611024586,0.7243964672088623,0.8093,0.804290361307101,0.8247396184211387,0.845575446199931
ADAUSDT,2545,3,0.7603121876674326,0.48041102290153503,0.8307,0.7763549888721716,0.7970753392349709,0.8195090788747508
ADAUSDT,2546,4,0.6419441281770446,0.4947405159473419,0.8184,0.7800438786214346,0.8006996327417502,0.8221288431780601
ADAUSDT,2547,5,0.766938639528055,0.5111435651779175,0.8351,0.784974711748909,0.804333947399529,0.8258691701630732
ADAUSDT,2548,6,1.0016639913148586,0.478816419839859,0.8651,0.782998709221934,0.8020460963972751,0.8251770630467616
ADAUSDT,2549,7,0.983671789253963,0.6172406077384949,0.8652,0.7986584975432214,0.8207781595778988,0.8470391425316544
ADAUSDT,2544,1,0.5959674611024586,0.7010225057601929,0.8093,0.8016174718008351,0.8219296220137939,0.8424957933223548
ADAUSDT,2545,2,0.7603121876674326,0.5627231597900391,0.8307,0.7861604762126235,0.8069635355989819,0.8293594221305421
ADAUSDT,2546,3,0.6419441281770446,0.5517556667327881,0.8184,0.7869773849346763,0.8075553687722771,0.8290374187081091
ADAUSDT,2547,4,0.766938639528055,0.5813651084899902,0.8351,0.7935824627250149,0.812779925887247,0.8342085883588677
ADAUSDT,2548,5,1.0016639913148586,0.5551009774208069,0.8651,0.7924272766610531,0.8112457932162085,0.8340649847449471
ADAUSDT,2549,6,0.983671789253963,0.7200998067855835,0.8652,0.8115107173306548,0.8332476085672502,0.8589809440026788
ADAUSDT,2550,7,1.1299708075885773,0.734980583190918,0.8854,0.8134901192797005,0.8373039399178099,0.863249534812761
ADAUSDT,2545,1,0.7603121876674326,0.5638504028320312,0.8307,0.7876085392955102,0.8070989518446356,0.827764765519881
ADAUSDT,2546,2,0.6419441281770446,0.5531419515609741,0.8184,0.788209951818373,0.8077220613568663,0.8275926158556642
ADAUSDT,2547,3,0.766938639528055,0.5885766744613647,0.8351,0.7955278547713442,0.813647305443209,0.8334255738133575
ADAUSDT,2548,4,1.0016639913148586,0.5704540014266968,0.8651,0.7953168688749624,0.8130973234680305,0.8342936540969992
ADAUSDT,2549,5,0.983671789253963,0.7318785190582275,0.8652,0.8137582791300961,0.8346755221929119,0.8591708734087457
ADAUSDT,2550,6,1.1299708075885773,0.7694524526596069,0.8854,0.8185759659842844,0.8415014136847615,0.8661845338384458
ADAUSDT,2551,7,1.1744919558710731,0.8659015893936157,0.8939,0.831909564880587,0.8561697122080483,0.8831790038289522
ADAUSDT,2546,1,0.6419441281770446,0.5418333411216736,0.8184,0.7877473437022454,0.8063622675656396,0.8249538947463348
ADAUSDT,2547,2,0.766938639528055,0.6080454587936401,0.8351,0.7982407511915223,0.815988936314545,0.834926802145585
ADAUSDT,2548,3,1.0016639913148586,0.6162017583847046,0.8651,0.8012114374483597,0.8186143705284835,0.8391215375044908
ADAUSDT,2549,4,0.983671789253963,0.7601464986801147,0.8652,0.8177092659998988,0.8381024021724631,0.8617765372220837
ADAUSDT,2550,5,1.1299708075885773,0.795769453048706,0.8854,0.8223717366446774,0.8447059082613737,0.8685310727954785
ADAUSDT,2551,6,1.1744919558710731,0.8853781223297119,0.8939,0.8350013383155847,0.8585510412211885,0.8844880125794808
ADAUSDT,2552,7,1.3356105098961268,0.930006206035614,0.9169,0.8426360951582332,0.8671557925211172,0.8959172752234128
ADAUSDT,2547,1,0.766938639528055,0.6504065990447998,0.8351,0.8038045368856921,0.8210839721454506,0.8394853874864247
ADAUSDT,2548,2,1.0016639913148586,0.6596981287002563,0.8651,0.8067456533994003,0.8238599068770757,0.843689935971088
ADAUSDT,2549,3,0.983671789253963,0.7918461561203003,0.8652,0.8217831343412468,0.8419452987251512,0.8650548408863392
ADAUSDT,2550,4,1.1299708075885773,0.8218345046043396,0.8854,0.8259622430270535,0.8478797242401789,0.8708855009495341
ADAUSDT,2551,5,1.1744919558710731,0.934158444404602,0.8939,0.8414154374672398,0.8645152442242792,0.8895413314731819
ADAUSDT,2552,6,1.3356105098961268,0.9715393781661987,0.9169,0.8484706443278898,0.8722495124645586,0.8997693181900657
ADAUSDT,2553,7,1.4061339000539497,0.971653938293457,0.9294,0.851669551370171,0.8759277302841971,0.9040011840075711
ADAUSDT,2548,1,1.0016639913148586,0.6160781979560852,0.8651,0.8021919582887577,0.8185994694984696,0.8373520599577383
ADAUSDT,2549,2,0.983671789253963,0.777701735496521,0.8652,0.8207862813451584,0.8402305942253485,0.8621996495029153
ADAUSDT,2550,3,1.1299708075885773,0.807533323764801,0.8854,0.8249245922565149,0.8461383382249841,0.8681107752797453
ADAUSDT,2551,4,1.1744919558710731,0.9138667583465576,0.8939,0.8398631230372481,0.8620342492292203,0.8855755057416503
ADAUSDT,2552,5,1.3356105098961268,1.0031384229660034,0.9169,0.8529824627389819,0.876124889095662,0.9025783931400677
ADAUSDT,2553,6,1.4061339000539497,1.022367000579834,0.9294,0.8586671145477518,0.8821690826671784,0.9091032796341767
ADAUSDT,2554,7,1.0368927680784785,1.0568461418151855,0.8879,0.8677232641847178,0.890368290662982,0.9174009355835615
ADAUSDT,2549,1,0.983671789253963,0.7545714378356934,0.8652,0.8181344954318042,0.8374265468531911,0.8592566649947542
ADAUSDT,2550,2,1.1299708075885773,0.7833144068717957,0.8854,0.8224590839180645,0.8431893171858232,0.8643401237646113
ADAUSDT,2551,3,1.1744919558710731,0.9184030294418335,0.8939,0.8408409369783094,0.8625888835682011,0.8853877320000507
ADAUSDT,2552,4,1.3356105098961268,1.0145610570907593,0.9169,0.8548133512933737,0.8775257861681266,0.9031704190850937
ADAUSDT,2553,5,1.4061339000539497,1.1056082248687744,0.9294,0.8691927249146842,0.8924137374001981,0.9187333237449578
ADAUSDT,2554,6,1.0368927680784785,1.1022404432296753,0.8879,0.8739021224312257,0.8959836984537882,0.9221104635687263
ADAUSDT,2555,7,0.8143856334491697,0.8272731304168701,0.8632,0.8439741036926809,0.8647936285822173,0.8908754971780768
ADAUSDT,2550,1,1.1299708075885773,0.8362038135528564,0.8854,0.8285040305381917,0.8496294058875697,0.8713482999719524
ADAUSDT,2551,2,1.1744919558710731,0.98755943775177,0.8939,0.8490468520830459,0.8710444008870875,0.8938730704068292
ADAUSDT,2552,3,1.3356105098961268,1.0387113094329834,0.9169,0.858049917689826,0.8804876264438455,0.9055611255251224
ADAUSDT,2553,4,1.4061339000539497,1.1332507133483887,0.9294,0.8731181152598197,0.8958157506797259,0.9210636269907487
ADAUSDT,2554,5,1.0368927680784785,1.1243219375610352,0.8879,0.8773363845900505,0.8987152438556827,0.9234670270569335
ADAUSDT,2555,6,0.8143856334491697,0.8438259363174438,0.8632,0.846823682735879,0.8668404980918794,0.8913674947061059
ADAUSDT,2556,7,0.9346981020839733,0.5876910090446472,0.8803,0.8167517603374446,0.8376136230097135,0.8619689265147104
ADAUSDT,2551,1,1.1744919558710731,0.9957931041717529,0.8939,0.8492360979311347,0.8720511030960871,0.8961938681501671
ADAUSDT,2552,2,1.3356105098961268,1.0495738983154297,0.9169,0.8591574114759333,0.881819838331104,0.906819184313325
ADAUSDT,2553,3,1.4061339000539497,1.1783252954483032,0.9294,0.8787465515571531,0.9013631646539113,0.9261137421572524
ADAUSDT,2554,4,1.0368927680784785,1.1395807266235352,0.8879,0.8797941900142123,0.9006028006703026,0.924236973278847
ADAUSDT,2555,5,0.8143856334491697,0.8786219358444214,0.8632,0.8518111573174899,0.8711432653035411,0.8943144973969175
ADAUSDT,2556,6,0.9346981020839733,0.6013928651809692,0.8803,0.8190412556219002,0.8392991291801463,0.8624285933517715
ADAUSDT,2557,7,1.1881131298971042,0.6626657247543335,0.9138,0.8280178846215284,0.8494923836386042,0.8714801519309869
ADAUSDT,2552,1,1.3356105098961268,1.008792519569397,0.9169,0.8533453480054779,0.8768183199884505,0.9031241026383647
ADAUSDT,2553,2,1.4061339000539497,1.1530687808990479,0.9294,0.8751725611527833,0.898254797693588,0.9234149542273177
ADAUSDT,2554,3,1.0368927680784785,1.1360045671463013,0.8879,0.8795834103788235,0.9001604192884137,0.9233754510583492
ADAUSDT,2555,4,0.8143856334491697,0.9027478694915771,0.8632,0.8552514252672573,0.8741266047005665,0.8963214333823877
ADAUSDT,2556,5,0.9346981020839733,0.6753783226013184,0.8803,0.8284703721512829,0.8484003008581728,0.8707633359084108
ADAUSDT,2557,6,1.1881131298971042,0.6998658180236816,0.9138,0.8330646008865011,0.8540451691375133,0.8752127541223843
ADAUSDT,2558,7,1.2499954519102927,0.8899221420288086,0.9244,0.8579563111475208,0.8804580937065,0.9042955920742816
ADAUSDT,2553,1,1.4061339000539497,1.130136251449585,0.9294,0.8715269380652502,0.8954324479699816,0.9220967808152989
ADAUSDT,2554,2,1.0368927680784785,1.130780577659607,0.8879,0.8782459289102891,0.8995141965170834,0.9236265256077689
ADAUSDT,2555,3,0.8143856334491697,0.9193223714828491,0.8632,0.8571898153363404,0.876176157082655,0.8985927354892527
ADAUSDT,2556,4,0.9346981020839733,0.7178850173950195,0.8803,0.8336905808006753,0.8536291761030063,0.8759302105347573
ADAUSDT,2557,5,1.1881131298971042,0.7205629348754883,0.9138,0.8357258598785602,0.8565782147616159,0.8774157101413416
ADAUSDT,2558,6,1.2499954519102927,0.8764653205871582,0.9244,0.8568648678650959,0.8788158770506973,0.9017462458024786
ADAUSDT,2559,7,0.9454767510907961,0.9089267253875732,0.8904,0.8636912356228234,0.8859663829576699,0.9110157453886577
ADAUSDT,2554,1,1.0368927680784785,1.17380690574646,0.8879,0.8821491825781277,0.9048366790847209,0.9314035841078305
ADAUSDT,2555,2,0.8143856334491697,1.018652081489563,0.8632,0.8680881590691113,0.8884589661748148,0.9127154643878149
ADAUSDT,2556,3,0.9346981020839733,0.754157304763794,0.8803,0.8375814568894081,0.8580911383048799,0.8811498472768362
ADAUSDT,2557,4,1.1881131298971042,0.740422248840332,0.9138,0.8378158048883925,0.8590087247063832,0.8803406906672175
ADAUSDT,2558,5,1.2499954519102927,0.8788427114486694,0.9244,0.8570939160928099,0.8791060043208745,0.9020048624841182
ADAUSDT,2559,6,0.9454767510907961,0.9178378582000732,0.8904,0.8649110940749801,0.8870473274862667,0.9116586407332221
ADAUSDT,2560,7,0.9503845381301745,0.486155241727829,0.8931,0.8155026221928063,0.8375740468240406,0.8619280170984613
ADAUSDT,2555,1,0.8143856334491697,1.089592695236206,0.8632,0.8757045022136826,0.8972312661792322,0.9233453145031505
ADAUSDT,2556,2,0.9346981020839733,0.7478851675987244,0.8803,0.8359360355559277,0.8573195840141075,0.8815565613623938
ADAUSDT,2557,3,1.1881131298971042,0.7548980712890625,0.9138,0.8386534884160752,0.8607803685044827,0.8834221227237355
ADAUSDT,2558,4,1.2499954519102927,0.9093002080917358,0.9244,0.8600856180735973,0.8828229153684184,0.9067675875615719
ADAUSDT,2559,5,0.9454767510907961,0.9641251564025879,0.8904,0.8699097105784472,0.8926621020371908,0.918112090112506
ADAUSDT,2560,6,0.9503845381301745,0.5348485112190247,0.8931,0.8210299941113121,0.8433981949825169,0.8682085688727388
ADAUSDT,2561,7,0.8569116665760094,0.5914265513420105,0.884,0.8317101708147606,0.8528101147877665,0.8771834413252095
ADAUSDT,2556,1,0.9346981020839733,0.6873124241828918,0.8803,0.8286774685880339,0.8498683502709082,0.8735108666276554
ADAUSDT,2557,2,1.1881131298971042,0.6694045066833496,0.9138,0.8284449986861926,0.8503171189000079,0.8724492877168954
ADAUSDT,2558,3,1.2499954519102927,0.8423714637756348,0.9244,0.8523276995374018,0.8746551991551624,0.898056728309051
ADAUSDT,2559,4,0.9454767510907961,0.9138712286949158,0.8904,0.8644356285814478,0.8865661645914038,0.9111362729015785
